"Graded.Index"	"Peak.Current"	"SS.Current"	"Branch.Number"	"SGN.Type"	"Spike.Type"	"MP.Classification"	"Age"	"CDR"	"AP.Latency.threshold"	"AHP.tau"	"Current.Threshold"	"Voltage.Threshold"	"Vm"	"AP.Height"	"Rin"	"ss.30"	"ss.max"	"g.30"	"gmax"	"Vmid"	"g30.gmax"	"Outward.inactivation.tau"	"AP.Latency"
"89"	0.779185542	NA	NA	NA	""	"Graded"	""	4	NA	53.8	NA	20.10521887	NA	-45.53222758	22.97973684	0.745973799	250.2441406	2087.402344	4.371076692	15.21985683	33.22690082	0.287195651	51.69	NA
"90"	1.760751546	NA	NA	NA	""	"Transient"	""	4	NA	19.9	12.1	60.53059608	-52.85644649	-57.25097784	44.61670022	0.477332612	NA	NA	NA	NA	NA	NA	419.33	13.2
"91"	0.19524335	NA	NA	NA	""	"Graded"	""	5	NA	11.8	NA	70.5688443	NA	-19.83642622	15.99121129	0.142429351	75.68359375	2991.943359	1.32198417	21.81512813	1.868908766	0.060599423	142.25	NA
"92"	0.476579872	3402.1	3451.5	2	"Type I"	"Graded"	"M"	5	NA	NA	NA	80.8251436	-45.9289561	-51.48315545	26.55029356	0.344856662	355.8349609	5491.943359	6.215457833	40.04335433	36.33338154	0.155218211	655.53	13.2
"93"	2.034672553	4564.2	4091.8	2	"Type I"	"Transient"	"M"	8	0.45	9.1	6.18	60.43916303	-60.60791151	-64.30053855	38.8793954	0.31952765	893.5546875	5770.263672	15.60794214	42.07266857	-6.133983315	0.370975806	NA	8.2
"94"	0.46526319	4301.8	3679.2	1	"Type I"	"Graded"	"M"	8	0.32	6.1	NA	110.9391702	-57.58667121	-63.75122213	30.91430733	0.311739413	1005.249023	4789.428711	17.55893491	34.92111596	-35.29749436	0.502817119	NA	5.8
"95"	0.165066698	NA	NA	NA	""	"Graded"	""	8	NA	8.2	NA	70.51738329	NA	-62.44	8.300781436	0.085139729	767.2119141	5323.486328	13.40108147	38.81508518	NA	0.345254465	282.32	8.3
"96"	3.687298428	NA	NA	NA	""	"Transient"	""	8	NA	9.2	7.65	50.36788402	-57.70874152	-60.63842909	55.90820437	0.677201843	554.1992188	4779.663086	9.680335699	34.84991195	8.598226955	0.277772171	NA	NA
"97"	2.878144143	NA	NA	NA	""	"Transient"	""	10	NA	7.1	5.97	70.7641568	-61.12671035	-65.76538233	46.38671979	0.310482772	795.8984375	3635.253906	13.90215611	26.50569219	-39.75449097	0.524497003	64.66	NA
"98"	4.455799974	3357.5	3151.9	1	"Type I"	"Transient"	"M"	10	0.439	12.1	6.52	70.80915526	-63.3544936	-65.33813623	65.64331201	0.40163838	716.5527344	4598.999023	12.51620497	33.53263779	-26.4814386	0.373254411	NA	11
